lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
18,0,79.0,3,25,3,2,0,3,0,1
183,1,98.25,7,4,4,3,1,3,0,0
124,1,127.8,8,4,4,1,0,0,3,1
28,0,120.0,11,2,4,1,0,3,0,1
20,1,89.0,6,26,4,0,1,3,0,1
25,0,167.0,4,6,4,3,0,0,3,0
63,1,74.8,11,17,4,3,1,3,0,0
122,1,0.0,3,28,1,2,1,0,0,1
0,0,200.0,9,18,4,1,0,0,0,1
1,0,95.0,6,22,0,3,0,0,0,1
72,2,159.3,5,1,4,1,2,0,3,1
20,0,113.0,2,27,4,1,1,0,3,1
113,0,75.0,6,4,3,1,1,0,0,1
9,1,155.0,11,9,4,3,0,3,0,1
134,0,90.9,6,30,4,3,0,0,0,0
1,1,111.0,7,20,4,1,0,0,0,1
12,3,131.5,8,14,4,2,2,3,0,1
224,1,97.96,9,4,4,2,2,0,0,1
26,1,169.0,9,19,4,3,1,0,3,1
207,2,106.25,9,30,4,3,2,0,0,0
32,1,0.0,11,7,1,0,1,3,3,1
66,1,118.8,10,17,4,3,1,0,0,1
92,1,81.9,4,4,4,1,1,0,0,0
1,0,146.0,9,29,2,3,0,1,0,1
126,1,90.95,6,28,4,4,0,0,0,1
159,0,68.55,7,3,4,2,2,0,0,0
63,1,141.3,6,19,4,1,2,0,3,1
349,0,90.0,10,4,4,5,1,0,0,0
6,1,117.04,10,3,4,2,1,0,0,1
336,0,84.13,9,21,3,6,2,0,0,1
49,1,65.75,2,22,4,3,1,3,0,1
8,1,139.0,3,25,4,2,0,3,0,1
26,0,77.0,10,19,3,2,1,0,0,1
9,0,95.0,10,20,2,1,0,0,0,1
30,0,65.0,9,6,2,1,2,0,0,1
154,1,72.25,6,29,3,4,1,0,0,1
18,2,75.0,12,18,4,1,0,3,0,1
4,1,180.0,9,25,4,1,2,0,0,1
153,1,94.5,7,29,4,1,0,3,0,1
4,1,72.07,2,4,4,2,0,0,0,1
30,2,88.0,12,11,4,0,2,3,0,1
76,0,80.75,4,12,4,4,0,3,0,0
87,1,105.3,3,24,4,3,0,0,0,0
99,0,121.5,7,16,4,1,0,0,0,0
236,0,90.95,9,3,3,2,2,0,3,1
4,1,161.0,5,28,4,1,0,0,0,1
45,2,94.5,10,19,4,5,1,0,0,1
50,0,82.45,3,11,4,2,2,0,3,0
152,0,132.9,6,10,4,2,1,0,3,0
6,0,95.0,4,7,0,1,0,0,0,1
18,0,65.0,1,16,4,2,2,3,0,1
162,1,90.9,10,25,4,4,0,0,0,1
24,0,206.0,12,30,4,1,0,0,5,1
199,2,128.7,8,9,4,3,0,0,0,0
84,0,99.45,3,24,4,3,1,0,3,1
7,1,89.0,1,10,4,1,2,0,0,1
45,0,96.3,9,18,3,2,2,0,3,1
7,2,98.13,11,24,4,3,1,0,0,1
41,0,110.31,11,23,4,4,1,0,3,1
127,2,61.5,3,23,3,4,0,0,0,1
20,0,6.0,1,4,1,2,1,0,4,1
5,0,95.0,6,14,2,1,0,0,0,0
0,1,0.0,10,25,1,1,0,0,0,1
46,2,128.6,11,19,4,1,2,0,0,1
4,0,90.78,12,9,4,3,2,0,0,1
34,1,94.5,6,26,4,0,1,0,0,1
40,1,125.1,8,5,4,2,2,0,0,1
126,0,126.0,8,15,4,4,1,0,3,1
55,0,168.3,8,16,4,3,0,0,3,0
3,1,90.0,8,10,4,1,1,0,0,1
161,1,60.98,3,15,4,3,0,3,0,1
5,1,107.0,3,21,4,4,1,3,0,1
0,0,216.0,8,15,4,0,1,0,0,0
23,1,78.3,1,28,4,3,1,0,0,1
31,0,92.4,10,25,4,0,2,0,0,1
110,1,76.5,4,9,4,2,2,3,0,0
292,0,86.7,12,13,4,4,0,0,3,0
140,1,116.45,7,4,4,5,1,0,3,0
20,1,90.86,5,29,4,2,2,0,0,1
30,1,104.64,9,15,4,2,0,0,0,1
112,0,99.95,5,7,4,1,1,3,0,1
122,2,97.0,6,30,3,3,0,0,3,1
2,1,100.47,3,27,3,1,2,0,0,1
1,0,109.8,8,18,3,4,0,1,0,1
91,1,109.65,5,22,4,2,2,3,0,1
0,0,129.0,8,17,4,0,1,3,3,1
21,1,140.0,8,29,4,2,1,0,3,0
44,0,95.4,9,21,4,1,1,0,0,1
1,1,65.0,3,2,2,1,0,0,0,1
0,0,79.0,2,6,4,1,0,0,0,1
103,0,94.5,7,18,3,1,2,1,0,1
98,0,73.95,3,17,4,3,2,0,0,1
349,0,123.33,10,4,4,5,1,0,0,0
98,1,85.5,6,23,4,1,0,3,0,0
47,1,127.0,10,2,4,0,2,0,0,0
10,2,128.5,9,11,4,2,0,0,0,1
46,1,102.6,12,2,4,2,1,0,3,1
92,2,79.2,11,12,4,1,2,3,0,0
144,0,72.25,7,16,3,5,2,0,0,1
5,1,66.0,2,10,2,1,0,0,0,1
151,0,204.0,8,17,4,3,0,1,3,0
40,1,102.15,3,23,4,4,0,3,0,0
95,2,72.25,12,5,4,1,0,0,0,1
47,0,135.0,10,11,4,2,0,0,0,1
71,1,82.45,3,28,4,3,1,0,0,1
110,0,120.0,10,9,3,0,1,0,0,1
195,1,99.0,8,7,4,1,2,3,0,0
148,1,105.96,7,25,4,5,2,0,0,1
35,0,99.0,9,26,4,0,1,3,0,0
179,1,108.9,10,1,4,1,2,0,0,0
30,2,152.3,2,8,4,4,1,0,5,1
74,1,89.25,10,28,4,2,0,0,0,1
142,2,94.5,8,3,4,1,0,3,0,1
16,2,194.58,5,6,4,2,2,0,6,1
0,0,77.0,12,28,2,1,0,0,0,1
165,2,94.56,8,1,4,1,1,0,0,1
59,2,89.25,10,8,4,3,2,0,0,1
179,0,82.18,8,26,4,2,2,0,0,0
1,1,149.0,9,5,4,1,1,3,0,1
18,1,131.0,8,20,4,1,0,0,0,1
134,0,96.3,4,29,4,2,0,0,0,1
0,2,107.0,11,14,4,1,0,0,3,1
1,0,91.2,9,29,4,2,0,3,0,1
131,1,144.67,10,4,4,3,0,0,0,1
0,1,102.0,8,1,4,0,1,0,0,1
1,1,135.0,12,31,4,1,0,0,0,1
36,2,102.6,10,17,4,1,0,0,0,1
48,0,112.88,10,25,3,3,2,1,1,1
140,0,82.45,8,9,3,5,0,0,3,1
70,0,94.5,4,23,4,1,1,3,0,0
15,3,115.0,9,17,4,1,0,3,3,1
111,2,88.4,12,24,4,2,2,0,0,1
64,0,63.75,3,12,4,2,2,3,0,0
6,2,97.02,5,23,4,1,1,0,0,1
161,0,72.07,5,9,4,3,1,0,0,0
119,1,161.1,11,10,4,1,0,3,0,1
129,0,72.75,3,25,4,2,0,3,0,1
26,0,140.67,4,27,4,3,0,0,3,0
33,0,104.49,5,9,4,1,1,3,0,0
45,2,104.72,12,26,4,4,1,0,0,1
23,0,128.49,5,21,4,4,2,0,1,0
16,0,58.88,2,12,4,2,1,3,0,1
154,2,78.99,10,31,4,0,1,0,0,1
287,1,90.95,10,19,4,4,1,0,0,1
125,1,89.25,10,15,4,3,2,0,0,1
146,1,103.5,8,14,4,0,1,3,0,0
2,1,96.0,12,18,4,0,2,0,0,1
19,1,53.5,3,27,3,1,2,1,0,1
64,2,115.6,3,28,4,3,1,0,3,1
9,0,127.67,3,28,4,5,1,0,0,1
12,2,125.8,12,28,4,4,0,0,3,1
57,0,45.9,3,12,4,2,2,3,0,1
61,0,130.5,8,29,4,3,1,0,3,1
186,0,80.0,4,22,3,1,0,0,0,1
60,1,108.9,6,26,4,2,2,0,0,0
15,2,129.0,8,21,4,0,1,3,0,1
303,0,78.0,8,19,4,3,2,0,0,0
0,1,101.0,4,15,4,2,1,0,0,1
184,0,69.9,11,24,4,3,0,3,0,0
107,1,46.63,12,23,4,4,2,0,0,1
21,1,156.5,6,12,4,2,2,1,0,1
71,1,88.4,11,19,4,2,2,0,0,0
214,0,105.4,10,25,3,2,0,0,0,0
77,2,132.3,10,7,4,2,1,0,3,1
83,0,127.8,7,5,4,5,0,0,3,0
13,0,221.0,5,4,4,3,0,0,5,0
4,1,40.0,3,29,2,1,0,0,0,1
71,2,168.3,9,10,4,2,2,0,3,1
17,2,109.45,9,9,4,2,1,0,1,1
0,1,144.67,7,8,4,2,1,3,0,1
49,0,160.65,6,22,4,2,0,1,0,0
100,1,55.96,7,31,4,2,0,0,0,1
66,1,106.5,11,10,4,3,0,3,0,1
7,1,126.0,3,23,4,4,0,3,0,1
95,2,90.0,11,20,4,0,2,0,0,0
182,0,98.1,10,12,4,1,0,3,0,0
271,0,71.64,12,3,4,1,2,0,0,1
32,2,124.25,9,16,4,2,2,0,1,1
172,0,109.8,8,25,4,3,0,0,3,0
83,1,92.0,11,3,4,3,1,0,3,1
1,0,75.0,11,3,3,1,0,0,0,1
37,2,108.0,9,26,4,1,1,3,0,1
12,3,100.94,11,12,4,2,2,0,0,1
22,0,149.33,6,2,4,3,0,0,3,0
1,1,67.0,4,1,2,1,0,0,0,1
3,0,65.0,7,21,2,1,0,0,0,1
3,1,0.0,7,30,1,1,1,0,4,1
216,1,86.63,7,18,4,1,1,0,1,0
45,0,168.3,5,12,4,3,2,0,3,1
23,1,91.0,2,13,4,1,0,0,0,1
0,0,99.0,5,29,4,0,1,3,0,1
18,1,62.83,2,22,4,5,1,3,0,1
85,0,124.53,4,19,4,4,0,0,3,0
7,1,151.0,6,9,4,3,1,0,3,1
7,2,98.6,12,26,3,1,2,1,0,1
90,1,114.3,4,15,4,2,1,0,3,1
14,1,189.5,11,7,4,1,1,0,0,1
116,1,122.4,11,16,4,3,0,0,3,0
65,0,161.5,3,20,4,2,2,0,5,0
17,2,141.0,6,18,4,2,2,0,0,1
210,0,86.0,10,8,4,3,1,1,0,0
5,0,69.1,2,8,4,3,1,3,0,1
124,1,137.7,11,2,4,4,0,1,3,1
110,1,139.95,7,22,4,2,2,0,3,1
21,1,88.0,11,28,4,0,1,3,0,0
19,1,109.0,3,18,4,2,0,0,0,1
167,0,90.9,8,26,4,2,1,0,0,0
116,0,70.0,1,26,3,5,0,0,0,1
0,0,93.6,9,15,4,2,0,0,3,1
138,1,117.91,5,21,4,5,2,0,3,0
3,1,72.07,2,7,4,2,2,0,0,1
47,0,75.0,3,29,3,3,0,0,0,1
12,0,148.0,12,30,4,2,0,0,3,1
5,0,88.8,11,14,4,0,1,0,0,1
86,2,99.0,11,4,4,2,1,0,0,1
0,1,139.0,7,6,4,1,0,3,0,1
253,0,2.0,9,26,4,2,1,0,0,1
289,2,70.55,12,28,4,4,2,3,0,0
92,1,106.43,10,31,4,3,1,0,0,0
116,1,81.9,4,17,4,1,2,0,0,1
137,1,75.66,11,16,4,4,2,0,0,1
102,0,59.5,11,7,3,2,1,3,0,0
3,0,95.0,11,10,0,2,0,0,3,1
43,1,88.46,11,11,4,2,1,0,0,1
200,2,66.53,8,4,4,10,4,0,0,0
192,0,80.75,6,18,3,2,2,0,0,1
16,0,90.0,1,18,4,1,1,0,0,1
0,1,121.0,8,1,4,0,1,0,0,1
171,0,76.5,8,20,4,5,2,0,0,0
65,2,125.1,9,8,4,1,0,3,0,1
6,1,171.0,8,8,4,1,1,0,0,1
19,0,87.2,9,11,4,0,2,0,0,1
93,0,54.24,3,7,4,3,1,0,0,1
8,1,103.0,11,14,4,1,1,0,0,1
14,1,92.17,10,19,4,3,1,0,0,1
71,1,87.13,4,3,4,2,2,0,0,1
86,1,94.5,4,10,4,1,2,3,0,0
117,1,123.3,7,29,4,2,0,0,3,1
5,1,58.0,12,9,3,3,0,0,0,1
8,2,92.17,4,5,4,4,0,0,3,1
159,0,149.6,12,30,4,2,2,0,5,1
158,0,94.5,8,25,4,3,0,3,0,0
41,0,82.45,2,4,4,3,0,0,3,0
71,2,77.0,11,12,4,4,2,3,0,1
50,1,99.0,3,24,4,1,0,0,0,1
104,0,102.3,4,28,4,3,0,0,0,0
159,1,82.44,8,2,3,3,0,0,0,1
28,0,103.55,5,22,4,2,2,3,0,0
56,0,72.25,8,15,3,2,1,0,0,1
31,1,89.3,2,5,4,1,0,0,0,1
213,1,118.15,8,31,4,4,0,0,3,0
19,2,89.3,1,29,4,2,1,0,0,1
49,3,117.9,7,1,4,2,1,0,0,1
17,0,72.4,3,31,3,1,0,0,0,1
7,1,201.0,4,20,4,3,0,0,5,0
107,2,137.7,7,13,4,3,0,0,3,1
26,1,104.0,11,19,4,1,1,0,0,0
179,0,121.01,9,2,4,5,2,0,1,0
14,0,80.75,5,30,3,3,1,0,0,1
0,0,65.0,7,27,2,2,1,0,0,1
5,0,80.0,2,24,2,4,0,0,0,1
8,1,90.0,11,25,4,2,0,0,0,1
0,0,109.0,3,16,4,1,0,0,0,1
66,0,73.5,3,16,4,3,0,3,0,0
285,0,81.81,10,16,4,3,2,0,1,0
32,1,130.0,11,11,4,2,0,0,0,1
87,1,85.5,3,25,4,2,1,3,0,0
30,0,122.4,6,19,4,1,2,0,3,0
33,1,113.0,11,26,4,1,0,0,0,1
13,2,90.0,8,20,4,3,0,0,0,1
12,0,91.45,11,3,4,4,0,0,3,1
270,0,70.0,4,20,3,4,0,0,0,1
78,1,138.6,10,26,4,2,0,1,3,1
28,2,75.0,9,27,3,1,0,0,0,1
30,0,195.53,9,24,4,2,2,0,5,0
113,1,105.3,7,12,4,3,0,0,0,1
6,1,137.0,12,31,4,2,0,0,3,1
7,1,116.8,10,21,4,2,0,3,0,1
26,1,119.0,10,9,4,0,2,3,0,0
83,1,167.1,8,1,4,3,1,0,0,1
52,0,99.0,8,28,4,0,1,3,0,1
113,0,96.3,4,25,4,2,1,0,0,1
147,0,99.45,5,3,4,4,0,0,0,1
11,0,130.33,4,6,4,4,2,0,3,1
0,0,120.0,10,12,3,1,0,0,0,1
35,0,99.0,9,26,3,0,1,0,0,1
4,0,84.0,1,22,4,2,0,3,0,1
0,0,77.5,1,7,4,1,0,3,0,1
153,0,122.91,12,29,4,3,2,0,0,1
80,1,74.8,3,25,3,2,2,0,0,1
85,0,105.0,12,8,3,3,0,0,0,1
62,0,117.9,6,9,4,3,0,0,0,0
152,1,149.25,8,6,4,3,2,1,0,0
83,1,76.5,7,6,4,5,2,0,0,0
16,0,75.0,3,11,2,1,0,0,0,1
5,2,92.31,8,17,4,10,3,0,0,0
304,1,65.6,8,20,4,3,2,0,1,1
69,3,171.2,1,1,4,2,0,0,5,1
330,1,106.7,10,14,4,2,0,0,1,0
85,0,140.4,5,3,4,3,0,0,3,1
99,3,89.25,10,10,4,1,2,0,0,1
60,0,95.1,6,26,4,1,2,3,0,0
36,2,126.9,5,21,4,2,2,0,0,1
96,0,129.88,9,13,4,3,0,0,4,0
51,0,159.3,5,7,4,1,2,0,3,0
57,2,137.7,4,22,4,2,1,0,3,1
115,2,131.4,8,23,4,5,0,0,3,1
28,1,96.02,5,11,4,3,0,3,0,1
72,0,62.38,3,24,3,3,1,0,0,1
282,2,83.3,12,29,4,3,1,0,0,0
8,1,103.0,3,11,4,2,1,0,1,1
17,0,109.0,12,24,3,3,1,0,5,1
51,0,123.3,9,2,4,2,1,0,3,0
0,2,95.0,11,14,2,3,1,0,0,1
65,1,78.3,3,11,4,2,0,0,0,1
129,2,139.99,7,22,4,2,0,0,5,1
265,0,109.0,6,24,4,2,0,1,0,0
81,1,85.0,11,29,4,0,1,0,0,0
24,2,114.0,10,8,4,3,0,3,0,1
15,0,65.0,12,7,2,1,0,0,0,1
5,1,68.53,3,21,4,1,1,3,0,1
30,1,134.1,9,18,4,0,2,3,0,1
84,0,75.34,3,30,3,4,1,0,0,1
59,0,85.0,7,1,3,2,1,0,0,1
134,0,124.2,11,13,4,1,2,1,0,0
29,1,148.0,7,28,4,1,0,3,0,1
22,0,75.0,10,20,3,3,0,0,3,1
206,0,90.95,7,25,4,4,1,0,0,0
1,1,116.0,3,2,4,4,0,0,3,1
125,0,126.51,7,31,4,5,2,0,3,1
138,1,121.5,7,25,4,2,1,0,0,1
78,1,115.68,8,19,4,2,1,0,1,1
92,0,90.95,4,25,4,3,1,0,0,0
0,0,138.0,8,13,4,1,0,0,0,1
0,0,75.0,9,21,3,2,1,0,3,1
31,0,85.0,10,15,3,1,1,0,0,1
14,1,199.8,10,22,4,3,2,0,5,1
176,1,108.45,7,28,4,4,2,0,0,0
1,1,78.0,12,13,4,3,0,3,0,1
15,1,109.0,9,11,4,0,2,0,0,1
204,0,100.0,5,5,3,3,0,0,0,0
54,0,130.05,4,20,4,3,0,0,0,1
58,0,113.4,6,20,4,2,1,0,3,0
40,0,104.1,6,27,4,5,1,3,0,0
214,1,96.3,8,11,4,3,0,0,0,0
17,0,166.0,7,9,4,1,1,0,3,0
126,2,106.03,5,4,4,4,0,0,3,1
89,0,162.3,4,9,4,1,2,0,5,1
41,0,81.08,4,21,4,1,0,0,0,0
8,1,153.0,8,16,4,2,2,3,5,1
2,2,118.0,6,23,4,1,0,0,0,1
4,0,95.0,10,25,3,3,0,0,0,1
4,1,91.0,5,21,3,1,1,1,0,1
3,0,79.0,2,6,4,6,2,3,0,0
1,0,82.0,1,7,4,1,0,0,0,1
78,0,65.58,3,7,3,2,1,0,0,1
81,0,65.0,3,25,3,2,2,0,0,0
135,0,55.08,8,19,4,4,0,3,0,0
1,0,195.0,9,26,4,0,1,3,4,1
199,2,70.44,8,2,4,4,0,0,0,0
13,1,85.29,8,27,4,5,2,0,1,0
155,0,113.4,10,3,4,1,1,0,0,0
81,1,76.5,7,27,4,2,1,0,0,0
25,1,101.0,4,11,4,0,1,0,0,1
149,0,127.5,7,20,4,3,0,0,0,0
54,2,74.15,10,3,4,3,2,0,0,1
201,1,127.0,5,24,4,2,0,0,0,0
21,0,159.0,8,1,4,3,1,0,0,0
33,1,57.92,9,26,3,3,2,0,0,1
101,2,65.83,4,16,4,1,0,3,0,1
220,0,108.45,8,14,4,2,2,0,3,0
38,0,52.39,3,5,4,3,2,3,0,1
41,1,112.0,11,3,3,3,1,0,0,1
5,0,112.0,10,18,4,3,0,3,0,1
32,0,79.2,12,24,4,1,1,3,0,0
62,1,63.49,3,13,4,2,2,0,3,1
46,1,124.1,3,21,4,3,1,0,3,0
134,1,71.0,4,19,3,4,0,0,0,1
120,0,94.86,4,5,4,4,0,0,4,1
133,1,121.5,6,9,4,3,0,0,0,1
6,1,116.62,9,1,4,10,3,0,0,0
35,2,199.0,11,7,4,3,1,0,0,1
35,0,118.8,9,5,4,3,1,0,0,1
4,1,2.0,3,23,4,1,0,0,0,1
15,2,152.0,4,26,4,2,0,0,3,1
1,0,95.0,11,13,4,0,2,3,0,0
64,1,162.4,11,18,4,2,1,0,5,1
73,1,102.6,11,17,4,3,0,0,3,1
1,0,109.8,8,17,4,1,0,0,0,1
95,0,127.8,7,6,4,4,0,0,3,0
3,0,114.67,3,7,4,5,1,0,0,1
51,2,108.0,12,5,4,2,1,0,0,1
70,0,127.8,7,31,4,0,1,0,3,0
1,1,74.25,1,4,4,1,1,0,1,1
11,2,78.94,9,8,3,4,0,0,1,1
5,1,84.96,8,17,4,1,0,3,0,1
117,0,94.5,8,1,4,1,2,1,0,0
3,0,78.2,12,6,3,0,2,0,3,1
18,1,94.4,6,13,4,4,1,0,0,1
0,0,111.2,9,14,3,0,1,0,0,1
68,3,135.0,10,8,4,1,2,0,0,1
90,2,129.9,8,31,4,3,0,0,0,1
31,2,200.0,9,25,4,2,0,0,0,1
20,2,127.0,3,17,4,1,0,0,0,1
72,0,159.3,5,13,4,1,0,0,0,0
0,0,90.78,4,23,4,1,0,0,0,1
51,0,60.0,11,14,3,1,2,0,3,1
18,0,61.15,3,3,4,5,2,0,0,1
85,0,140.4,5,26,4,2,0,0,3,0
37,0,85.5,9,10,3,1,2,0,0,1
3,0,85.0,2,13,3,1,2,0,0,1
0,2,114.0,10,6,4,1,0,3,0,1
167,1,114.04,9,29,4,5,2,0,0,0
41,1,79.2,12,21,4,3,0,3,0,1
57,0,94.5,6,20,4,3,1,0,0,0
3,0,153.0,8,13,4,1,0,3,5,1
82,0,149.4,5,17,4,2,0,0,3,1
23,1,130.0,9,8,4,2,0,0,0,1
3,1,65.0,3,20,2,0,2,0,0,1
115,0,98.7,10,23,4,1,2,3,0,1
247,1,70.03,10,28,4,2,2,0,0,0
85,0,126.9,6,20,4,2,1,0,0,0
36,2,119.5,10,20,4,2,0,3,0,1
24,1,0.0,11,5,1,1,0,0,0,1
45,1,149.4,9,9,4,1,0,0,3,1
0,2,106.84,8,19,4,9,3,0,0,1
6,0,103.64,6,26,4,3,2,0,0,0
100,1,94.5,7,23,4,1,2,3,0,1
12,1,65.0,6,14,2,2,0,0,0,1
19,0,96.0,12,16,4,2,0,0,0,1
29,1,102.0,4,14,4,3,0,3,0,1
3,0,65.0,5,30,2,1,1,0,0,1
16,2,155.6,11,6,4,3,2,3,0,1
25,1,90.98,9,21,4,3,1,0,3,1
39,0,116.1,5,12,4,3,1,3,0,0
54,1,105.0,4,5,3,3,0,0,0,1
143,1,101.31,8,31,4,4,1,0,0,1
75,1,96.78,10,2,4,0,2,0,3,1
116,0,86.36,8,6,3,1,2,0,0,0
14,0,79.0,2,12,4,2,0,3,0,1
11,0,85.0,2,13,3,3,2,0,0,1
0,0,109.0,2,18,4,1,0,0,0,1
115,1,119.85,6,11,4,4,2,0,0,1
6,0,89.0,10,3,2,0,1,0,0,1
27,0,132.24,6,12,4,6,4,0,3,0
5,0,79.33,11,17,4,4,2,3,0,0
21,0,129.58,12,28,4,4,0,0,3,1
24,1,129.0,5,2,4,2,1,3,0,1
2,0,175.0,10,10,4,3,1,0,3,1
77,2,149.4,7,3,4,5,3,0,3,1
61,1,149.4,9,11,4,3,2,0,3,1
59,1,104.64,8,5,4,2,1,0,0,1
3,0,90.67,6,10,3,2,1,0,0,1
0,0,65.0,5,23,2,0,1,0,0,1
2,0,159.07,9,14,2,2,0,0,5,1
6,0,85.0,4,3,3,2,2,3,0,1
7,0,67.0,5,23,2,2,1,0,0,1
19,0,120.0,5,2,4,2,1,0,0,1
180,0,49.74,8,16,4,5,2,0,0,0
72,0,76.5,4,3,4,1,2,0,0,0
73,0,77.04,4,26,3,3,0,0,0,1
14,0,160.0,10,22,4,1,0,0,0,0
236,0,89.25,10,3,4,1,0,0,0,0
56,0,139.5,10,17,4,4,1,0,3,0
128,1,94.5,8,3,4,3,0,3,0,1
8,1,108.57,5,10,4,2,0,0,3,0
86,1,81.86,12,30,4,3,0,0,0,1
4,1,101.0,4,21,4,1,0,0,0,1
36,0,110.0,9,11,2,3,2,0,3,1
52,2,93.6,11,19,4,1,2,0,0,1
52,1,80.3,3,6,4,0,1,0,0,1
196,0,99.45,8,22,4,5,1,0,0,0
1,1,90.33,12,10,4,1,2,3,0,1
2,0,74.0,12,2,2,1,0,0,0,1
67,3,82.99,2,22,4,4,1,0,3,1
6,0,58.0,12,6,3,2,2,0,0,1
74,3,89.25,9,15,4,2,0,0,0,1
11,0,115.0,4,15,4,2,0,3,0,1
52,1,60.0,11,19,3,3,0,0,3,1
4,1,93.0,2,4,4,2,0,0,0,1
0,1,96.0,12,1,4,2,0,0,0,1
4,2,65.0,10,24,2,2,1,0,0,1
129,2,83.61,8,9,4,5,0,0,0,1
1,0,65.0,11,19,2,1,0,0,0,1
18,0,107.0,12,6,4,0,2,0,0,1
135,1,103.5,8,9,4,3,0,3,0,1
118,3,107.95,5,1,4,5,2,0,3,1
13,4,174.0,9,14,4,3,1,0,5,1
31,0,69.0,1,2,3,1,2,0,0,1
89,1,75.0,5,9,3,2,1,0,0,1
1,3,166.0,6,11,4,1,1,0,3,1
86,0,139.95,7,27,4,4,0,0,3,0
47,1,150.3,7,2,4,1,1,0,3,0
20,0,90.0,4,12,3,2,0,0,0,1
83,2,122.4,11,4,4,2,1,0,3,1
76,1,140.4,5,12,4,3,0,0,3,1
4,0,59.0,1,25,2,0,1,0,0,1
3,0,110.0,10,7,0,2,1,0,3,0
3,0,135.15,9,18,3,1,2,0,0,1
147,2,103.7,7,1,4,2,2,0,3,1
16,2,90.0,8,29,4,1,1,0,0,1
4,1,231.0,7,15,4,1,0,0,5,1
77,0,140.4,5,1,4,0,2,0,3,1
13,0,109.0,4,25,4,2,1,3,0,0
1,0,149.0,7,7,4,1,0,3,0,0
78,2,114.9,12,27,4,3,0,0,3,1
158,1,90.0,11,25,4,2,0,0,0,0
117,1,99.45,5,13,4,2,2,3,0,1
32,0,150.3,3,31,4,3,1,0,0,0
24,1,109.0,9,10,3,2,2,0,0,1
22,0,75.0,10,13,3,3,0,0,3,1
107,0,116.1,6,14,4,2,0,3,1,0
81,2,130.5,7,18,4,2,1,0,0,1
29,1,139.0,8,8,4,0,1,3,0,1
108,0,74.89,4,2,4,5,2,0,1,1
2,0,95.0,11,25,4,2,0,3,0,1
14,1,80.0,2,27,4,1,0,3,0,1
73,1,76.5,4,3,4,1,2,3,0,1
7,1,67.0,8,23,2,3,0,0,0,1
45,0,80.3,1,23,4,1,1,0,0,1
3,0,67.0,7,21,2,1,0,0,0,1
14,0,147.5,4,29,4,2,2,0,0,0
53,1,135.9,9,15,4,1,0,0,0,1
110,0,105.3,5,9,4,1,1,0,0,0
15,0,93.0,2,20,4,1,2,0,0,1
209,0,106.25,8,21,4,5,2,0,0,0
15,0,77.88,1,28,4,4,2,0,1,1
12,0,93.0,5,16,2,0,1,0,0,1
158,2,114.3,7,8,4,2,0,0,0,0
35,0,98.1,5,22,4,2,2,3,0,0
1,0,65.0,11,19,2,1,0,0,0,1
78,2,128.7,4,11,4,2,1,0,3,1
15,0,154.33,4,15,4,2,1,0,3,0
139,0,151.2,10,8,4,1,2,0,3,0
12,2,182.33,7,7,4,3,0,0,3,1
0,1,133.0,9,7,4,0,1,0,0,1
99,1,94.35,6,27,4,4,1,3,0,1
158,0,138.83,8,14,4,4,2,1,0,0
80,0,65.83,3,25,4,2,1,3,0,1
1,1,88.43,3,12,4,1,1,0,0,1
1,1,96.3,10,23,4,2,2,0,0,1
3,0,72.5,7,11,3,1,2,1,0,1
12,1,178.5,9,24,4,3,1,3,0,1
106,0,102.39,4,27,4,9,2,0,0,0
77,1,150.45,5,15,4,2,2,0,0,0
53,0,137.7,4,7,4,3,0,0,3,1
99,0,101.5,3,24,4,3,0,3,0,1
49,1,80.3,3,4,4,2,1,0,0,1
65,1,149.4,9,9,4,2,0,0,3,1
4,0,94.0,11,8,2,1,0,0,3,1
4,0,0.0,9,18,1,3,2,0,0,1
11,0,100.0,10,11,2,3,2,0,0,1
19,2,104.0,12,5,4,2,1,0,0,1
2,0,99.5,11,26,4,1,1,0,0,0
16,2,74.8,11,13,4,4,2,3,0,0
39,1,136.08,3,12,4,3,2,1,3,1
60,0,60.27,7,3,4,5,2,3,0,1
3,0,150.8,2,27,4,6,4,1,3,0
92,0,140.4,6,1,4,3,0,0,3,0
67,1,29.0,9,6,1,2,2,1,3,1
187,1,121.5,8,12,4,2,1,0,0,0
9,0,95.0,10,30,3,1,0,0,0,1
35,2,117.0,9,25,4,1,2,0,0,1
35,0,63.0,3,12,3,3,2,0,0,1
18,0,68.07,12,18,4,2,2,0,0,1
62,1,109.68,4,25,4,3,1,0,0,1
59,0,81.0,1,28,3,2,0,0,0,1
162,0,168.3,7,4,4,0,1,0,5,0
40,0,112.95,3,23,4,4,0,0,0,0
68,0,68.0,7,4,4,1,2,0,0,0
41,1,177.3,8,24,4,3,0,0,3,1
46,0,120.0,9,12,3,3,1,0,3,1
9,0,81.0,1,16,4,11,4,0,0,1
142,0,85.0,12,17,4,4,2,0,0,0
1,0,99.0,6,14,4,1,0,3,0,1
72,3,132.3,10,9,4,0,1,0,3,1
50,0,109.8,8,29,4,1,1,0,0,1
3,0,80.8,2,25,4,3,0,0,0,1
63,1,105.3,7,23,4,1,0,0,0,1
