,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
25627,INN25628,2,0,2,2,Not Selected,0,Room_Type 1,161,2018,4,29,Online,0,0,0,95.2,1,Not_Canceled
24063,INN24064,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,3,5,Online,0,0,0,97.0,0,Not_Canceled
17916,INN17917,1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90.0,0,Not_Canceled
734,INN00735,2,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,117.0,1,Not_Canceled
30739,INN30740,3,0,0,2,Meal Plan 1,0,Room_Type 4,17,2018,12,2,Online,0,0,0,157.5,2,Not_Canceled
13557,INN13558,1,0,2,0,Meal Plan 1,0,Room_Type 1,2,2018,7,24,Corporate,1,3,39,65.0,0,Not_Canceled
4810,INN04811,2,0,0,3,Not Selected,0,Room_Type 1,8,2018,1,13,Online,0,0,0,69.5,0,Not_Canceled
13036,INN13037,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2017,8,5,Corporate,0,0,0,65.0,0,Not_Canceled
23996,INN23997,2,0,2,2,Meal Plan 1,0,Room_Type 1,149,2017,8,29,Online,0,0,0,80.75,0,Canceled
34471,INN34472,2,0,2,4,Not Selected,0,Room_Type 1,4,2018,2,6,Online,0,0,0,81.0,0,Canceled
27152,INN27153,2,0,1,1,Not Selected,0,Room_Type 1,72,2018,5,7,Online,0,0,0,116.1,1,Not_Canceled
1652,INN01653,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Online,0,0,0,115.0,1,Canceled
25601,INN25602,1,0,1,3,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
35750,INN35751,2,0,2,5,Meal Plan 2,0,Room_Type 1,80,2018,7,10,Online,0,0,0,142.07,1,Not_Canceled
9189,INN09190,2,0,1,1,Meal Plan 1,1,Room_Type 1,98,2018,5,30,Offline,0,0,0,89.75,0,Not_Canceled
9460,INN09461,3,0,0,2,Meal Plan 1,0,Room_Type 4,135,2018,10,6,Online,0,0,0,151.2,2,Not_Canceled
1969,INN01970,2,1,2,1,Meal Plan 1,0,Room_Type 1,10,2017,12,5,Online,0,0,0,79.39,1,Not_Canceled
30848,INN30849,2,0,1,0,Not Selected,0,Room_Type 1,12,2018,7,24,Online,0,0,0,139.0,0,Not_Canceled
5777,INN05778,2,0,0,4,Meal Plan 2,0,Room_Type 1,323,2018,5,17,Online,0,0,0,112.0,1,Canceled
33681,INN33682,2,0,0,2,Meal Plan 1,0,Room_Type 4,82,2018,4,1,Online,0,0,0,96.3,0,Canceled
19821,INN19822,2,0,2,2,Meal Plan 1,0,Room_Type 1,117,2018,4,29,Online,0,0,0,95.2,1,Not_Canceled
3493,INN03494,2,2,0,3,Meal Plan 1,0,Room_Type 6,55,2018,9,20,Online,0,0,0,207.9,0,Canceled
27299,INN27300,2,1,0,3,Meal Plan 1,0,Room_Type 1,192,2018,8,9,Online,0,0,0,121.5,1,Canceled
8790,INN08791,1,0,2,0,Meal Plan 1,0,Room_Type 1,38,2018,8,21,Online,0,0,0,90.95,0,Not_Canceled
21881,INN21882,2,0,0,3,Meal Plan 1,0,Room_Type 1,335,2018,10,13,Offline,0,0,0,90.0,2,Not_Canceled
18135,INN18136,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
9183,INN09184,1,0,0,1,Meal Plan 1,1,Room_Type 1,52,2018,10,13,Corporate,1,0,2,67.0,0,Not_Canceled
10449,INN10450,2,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,5,28,Online,0,0,0,161.0,1,Not_Canceled
28634,INN28635,2,0,2,1,Not Selected,0,Room_Type 1,44,2018,10,2,Online,0,0,0,108.0,1,Canceled
14945,INN14946,2,1,2,1,Meal Plan 1,0,Room_Type 2,11,2017,12,26,Online,0,0,0,92.58,1,Not_Canceled
28002,INN28003,2,0,2,3,Meal Plan 1,0,Room_Type 1,28,2017,9,19,Online,0,0,0,116.56,2,Not_Canceled
34310,INN34311,2,0,2,5,Meal Plan 1,0,Room_Type 4,18,2018,1,15,Online,0,0,0,97.0,0,Not_Canceled
25841,INN25842,2,0,0,1,Meal Plan 1,0,Room_Type 1,151,2018,7,15,Online,0,0,0,105.3,1,Canceled
17087,INN17088,2,0,1,2,Meal Plan 1,0,Room_Type 1,256,2017,9,14,Offline,0,0,0,76.67,0,Not_Canceled
13584,INN13585,1,0,0,2,Meal Plan 1,0,Room_Type 1,172,2018,6,24,Offline,0,0,0,95.0,0,Canceled
32391,INN32392,2,0,2,5,Meal Plan 1,0,Room_Type 1,198,2018,7,1,Online,0,0,0,90.95,1,Not_Canceled
13656,INN13657,2,0,0,2,Meal Plan 1,0,Room_Type 4,88,2018,10,25,Online,0,0,0,104.4,1,Not_Canceled
26705,INN26706,2,1,0,3,Not Selected,0,Room_Type 1,21,2018,2,3,Online,0,0,0,59.75,2,Not_Canceled
22675,INN22676,3,0,1,1,Meal Plan 1,1,Room_Type 4,165,2018,7,18,Online,0,0,0,142.2,2,Canceled
6924,INN06925,2,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Online,0,0,0,115.0,1,Canceled
8481,INN08482,2,0,0,4,Meal Plan 1,0,Room_Type 1,113,2018,3,29,Offline,0,0,0,61.25,0,Not_Canceled
31815,INN31816,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2018,4,7,Online,0,0,0,101.0,1,Not_Canceled
35477,INN35478,2,0,0,1,Meal Plan 1,1,Room_Type 5,1,2018,10,28,Offline,0,0,0,119.0,1,Not_Canceled
18833,INN18834,2,0,1,5,Not Selected,0,Room_Type 1,6,2017,8,10,Online,0,0,0,80.0,1,Not_Canceled
31378,INN31379,2,2,0,3,Meal Plan 1,0,Room_Type 6,34,2018,12,8,Online,0,0,0,174.0,1,Not_Canceled
32447,INN32448,3,0,1,4,Meal Plan 1,0,Room_Type 4,55,2018,5,11,Online,0,0,0,150.45,2,Not_Canceled
19422,INN19423,3,0,4,6,Meal Plan 1,0,Room_Type 4,119,2018,8,7,Online,0,0,0,155.7,0,Canceled
1782,INN01783,2,0,0,1,Meal Plan 1,0,Room_Type 1,180,2017,10,16,Online,0,0,0,70.0,0,Canceled
16983,INN16984,2,0,1,3,Not Selected,0,Room_Type 1,107,2018,9,5,Online,0,0,0,118.8,1,Canceled
232,INN00233,1,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,10,28,Offline,0,0,0,90.0,0,Not_Canceled
16489,INN16490,2,0,0,1,Meal Plan 1,0,Room_Type 1,42,2018,3,22,Online,0,0,0,93.6,0,Not_Canceled
26749,INN26750,2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109.0,0,Not_Canceled
26858,INN26859,2,2,2,2,Meal Plan 1,0,Room_Type 6,51,2018,9,16,Online,0,0,0,187.11,2,Not_Canceled
31227,INN31228,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61.0,0,Canceled
35985,INN35986,3,0,2,1,Meal Plan 1,0,Room_Type 4,98,2018,7,24,Online,0,0,0,137.7,2,Not_Canceled
11478,INN11479,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,17,Online,0,0,0,135.0,0,Not_Canceled
7582,INN07583,2,0,2,1,Not Selected,0,Room_Type 1,29,2018,9,25,Online,0,0,0,111.67,2,Not_Canceled
14108,INN14109,2,0,1,0,Not Selected,0,Room_Type 1,180,2018,11,13,Online,0,0,0,54.75,2,Not_Canceled
28508,INN28509,1,0,1,1,Meal Plan 1,0,Room_Type 1,4,2018,5,2,Corporate,0,0,0,95.0,0,Not_Canceled
365,INN00366,3,0,1,4,Meal Plan 1,0,Room_Type 1,50,2018,2,22,Online,0,0,0,78.85,1,Not_Canceled
27509,INN27510,2,0,1,2,Not Selected,0,Room_Type 1,71,2018,12,5,Online,0,0,0,79.2,1,Not_Canceled
4117,INN04118,1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73.0,0,Not_Canceled
6633,INN06634,2,0,0,1,Meal Plan 2,0,Room_Type 1,100,2017,10,16,Online,0,0,0,108.0,0,Canceled
28553,INN28554,2,0,1,3,Meal Plan 1,0,Room_Type 6,20,2018,12,22,Online,0,0,0,147.9,0,Not_Canceled
21440,INN21441,1,2,0,2,Meal Plan 1,0,Room_Type 2,1,2017,8,12,Online,0,0,0,0.0,4,Not_Canceled
31161,INN31162,2,0,2,2,Meal Plan 1,0,Room_Type 1,29,2017,10,11,Online,0,0,0,96.3,0,Not_Canceled
13399,INN13400,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2018,5,20,Offline,0,0,0,140.0,0,Not_Canceled
17724,INN17725,1,0,2,2,Meal Plan 1,0,Room_Type 1,163,2018,6,5,Offline,0,0,0,100.0,0,Canceled
7743,INN07744,3,0,2,1,Meal Plan 1,0,Room_Type 4,224,2018,10,23,Online,0,0,0,128.7,2,Canceled
25281,INN25282,2,0,2,1,Meal Plan 1,0,Room_Type 1,20,2018,9,18,Offline,0,0,0,95.0,0,Not_Canceled
25560,INN25561,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,30,Offline,0,0,0,85.0,0,Not_Canceled
15395,INN15396,2,0,2,4,Meal Plan 1,0,Room_Type 1,261,2018,10,22,Online,0,0,0,93.78,1,Not_Canceled
4655,INN04656,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
6373,INN06374,2,0,2,2,Meal Plan 1,0,Room_Type 1,62,2018,11,20,Offline,0,0,0,75.0,0,Not_Canceled
4290,INN04291,2,0,0,3,Not Selected,0,Room_Type 1,57,2018,11,1,Online,0,0,0,79.2,1,Not_Canceled
6631,INN06632,2,0,0,2,Not Selected,0,Room_Type 1,23,2018,11,17,Online,0,0,0,88.0,2,Not_Canceled
28064,INN28065,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
3185,INN03186,2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Online,0,0,0,130.0,0,Canceled
23975,INN23976,1,0,0,2,Meal Plan 1,0,Room_Type 1,181,2018,10,11,Offline,0,0,0,120.0,1,Canceled
18433,INN18434,1,0,0,3,Not Selected,0,Room_Type 1,138,2018,11,30,Online,0,0,0,82.2,2,Not_Canceled
12131,INN12132,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,Not_Canceled
3826,INN03827,2,1,2,5,Meal Plan 2,0,Room_Type 4,93,2018,10,22,Online,0,0,0,150.56,1,Canceled
3454,INN03455,2,0,1,3,Not Selected,0,Room_Type 1,184,2018,7,7,Online,0,0,0,80.75,1,Not_Canceled
10083,INN10084,1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,9,22,Online,0,0,0,111.65,0,Not_Canceled
15416,INN15417,2,0,0,4,Meal Plan 1,0,Room_Type 1,93,2017,10,7,Online,0,0,0,89.25,1,Not_Canceled
9742,INN09743,2,0,0,3,Not Selected,0,Room_Type 1,41,2018,3,15,Online,0,0,0,71.1,1,Not_Canceled
23971,INN23972,3,0,0,4,Meal Plan 1,0,Room_Type 1,24,2017,11,3,Offline,0,0,0,60.75,1,Not_Canceled
23071,INN23072,2,0,0,1,Not Selected,0,Room_Type 4,0,2017,8,18,Online,0,0,0,129.0,0,Not_Canceled
6546,INN06547,2,0,1,1,Meal Plan 1,0,Room_Type 4,62,2018,4,30,Online,0,0,0,140.4,0,Canceled
11586,INN11587,2,0,1,3,Not Selected,0,Room_Type 1,39,2018,11,17,Online,0,0,0,74.8,2,Not_Canceled
19465,INN19466,2,0,2,1,Meal Plan 1,0,Room_Type 1,30,2018,9,25,Online,0,0,0,117.0,2,Not_Canceled
36159,INN36160,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Offline,0,0,0,94.5,0,Not_Canceled
10374,INN10375,2,1,1,3,Meal Plan 1,0,Room_Type 1,50,2018,3,28,Online,0,0,0,101.15,0,Canceled
17326,INN17327,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Offline,0,0,0,89.0,0,Canceled
23350,INN23351,2,0,2,2,Meal Plan 1,0,Room_Type 1,81,2017,10,25,Online,0,0,0,89.25,1,Canceled
32686,INN32687,2,0,2,2,Meal Plan 1,0,Room_Type 1,134,2018,7,2,Online,0,0,0,93.08,2,Not_Canceled
23548,INN23549,2,0,1,3,Meal Plan 1,0,Room_Type 1,5,2017,8,24,Online,0,0,0,90.0,2,Not_Canceled
2735,INN02736,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,Not_Canceled
7190,INN07191,2,0,2,4,Meal Plan 1,0,Room_Type 1,32,2018,11,12,Online,0,0,0,92.08,0,Not_Canceled
11466,INN11467,2,1,0,2,Meal Plan 1,0,Room_Type 1,46,2018,6,29,Online,0,0,0,134.1,1,Not_Canceled
1759,INN01760,1,0,0,2,Meal Plan 2,0,Room_Type 4,80,2017,10,9,Offline,0,0,0,108.0,0,Not_Canceled
7558,INN07559,2,0,1,1,Not Selected,0,Room_Type 1,65,2018,7,23,Online,0,0,0,94.5,1,Not_Canceled
34717,INN34718,2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Offline,0,0,0,115.0,1,Canceled
11147,INN11148,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,Offline,0,0,0,65.0,0,Canceled
5857,INN05858,1,0,0,5,Meal Plan 1,0,Room_Type 1,117,2018,12,13,Online,0,0,0,85.0,1,Canceled
17315,INN17316,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,109.0,0,Not_Canceled
19075,INN19076,1,0,2,5,Meal Plan 2,0,Room_Type 1,125,2018,7,18,Offline,0,0,0,68.0,0,Not_Canceled
21583,INN21584,1,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,0,0,0,86.0,0,Not_Canceled
25585,INN25586,1,0,0,1,Not Selected,0,Room_Type 1,7,2018,9,20,Online,0,0,0,129.0,1,Canceled
35371,INN35372,2,0,0,3,Meal Plan 1,0,Room_Type 1,10,2017,9,3,Online,0,0,0,117.67,1,Not_Canceled
1482,INN01483,2,0,2,3,Not Selected,0,Room_Type 1,11,2018,11,17,Online,0,0,0,79.05,0,Canceled
162,INN00163,3,0,2,2,Meal Plan 1,0,Room_Type 7,3,2018,10,7,Online,0,0,0,215.6,1,Not_Canceled
28712,INN28713,3,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,4,28,Online,0,0,0,148.95,0,Not_Canceled
20680,INN20681,2,0,1,3,Meal Plan 1,0,Room_Type 1,75,2018,3,17,Offline,0,0,0,80.0,0,Canceled
4168,INN04169,3,0,2,8,Meal Plan 1,0,Room_Type 4,39,2018,12,8,Online,0,0,0,130.9,2,Not_Canceled
6234,INN06235,1,0,0,3,Meal Plan 1,0,Room_Type 4,28,2018,6,14,Online,0,0,0,108.42,1,Not_Canceled
32615,INN32616,2,1,2,2,Meal Plan 1,0,Room_Type 1,1,2017,8,7,Online,0,0,0,90.0,2,Not_Canceled
23836,INN23837,2,0,0,4,Meal Plan 1,0,Room_Type 1,247,2018,10,25,Online,0,0,0,90.95,0,Canceled
27422,INN27423,2,2,0,1,Meal Plan 1,0,Room_Type 6,0,2017,8,26,Online,0,0,0,156.0,2,Not_Canceled
13156,INN13157,2,0,1,3,Meal Plan 1,0,Room_Type 2,147,2018,4,4,Online,0,0,0,96.5,1,Canceled
26397,INN26398,2,0,1,2,Meal Plan 2,0,Room_Type 1,163,2018,9,5,Online,0,0,0,161.1,2,Canceled
30684,INN30685,2,0,2,2,Meal Plan 1,0,Room_Type 1,11,2017,10,23,Offline,0,0,0,88.5,0,Not_Canceled
30490,INN30491,1,0,1,1,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
27126,INN27127,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,5,20,Offline,0,0,0,65.0,1,Not_Canceled
8032,INN08033,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
20178,INN20179,2,0,0,3,Meal Plan 1,0,Room_Type 1,85,2018,8,3,Online,0,0,0,119.7,0,Canceled
28874,INN28875,2,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,3,6,Online,0,0,0,103.1,0,Not_Canceled
2631,INN02632,1,0,0,3,Meal Plan 1,0,Room_Type 1,71,2018,6,14,Offline,0,0,0,120.0,0,Not_Canceled
10031,INN10032,2,0,0,2,Meal Plan 1,0,Room_Type 1,11,2018,1,20,Online,0,0,0,80.3,1,Not_Canceled
27370,INN27371,3,0,1,2,Meal Plan 1,0,Room_Type 4,75,2018,11,18,Online,0,0,0,126.0,2,Not_Canceled
31305,INN31306,2,0,0,1,Meal Plan 1,0,Room_Type 1,37,2018,6,9,Online,0,0,0,108.9,1,Not_Canceled
23951,INN23952,2,0,2,5,Meal Plan 1,0,Room_Type 1,98,2018,4,30,Online,0,0,0,109.81,1,Not_Canceled
14698,INN14699,1,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,10,10,Corporate,1,0,1,153.0,0,Not_Canceled
33566,INN33567,2,0,2,1,Meal Plan 1,0,Room_Type 1,19,2017,12,5,Online,1,1,0,69.0,0,Not_Canceled
9477,INN09478,1,0,2,1,Meal Plan 1,0,Room_Type 1,163,2018,10,15,Offline,0,0,0,115.0,0,Canceled
19128,INN19129,1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Offline,0,0,0,87.0,0,Not_Canceled
20114,INN20115,2,0,2,3,Meal Plan 1,0,Room_Type 4,41,2017,11,8,Offline,0,0,0,60.0,1,Not_Canceled
34587,INN34588,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,6,8,Corporate,1,0,4,65.0,1,Not_Canceled
5975,INN05976,2,0,2,2,Meal Plan 1,0,Room_Type 1,89,2018,4,8,Online,0,0,0,65.13,1,Not_Canceled
35337,INN35338,2,0,2,3,Meal Plan 1,0,Room_Type 1,276,2018,5,13,Offline,0,0,0,61.0,0,Canceled
25757,INN25758,1,0,0,2,Meal Plan 1,0,Room_Type 1,5,2017,11,11,Corporate,1,0,2,65.0,0,Not_Canceled
3433,INN03434,2,0,2,2,Meal Plan 1,0,Room_Type 1,30,2017,9,5,Online,0,0,0,94.5,1,Not_Canceled
23138,INN23139,1,0,0,1,Meal Plan 2,0,Room_Type 1,221,2018,8,12,Offline,0,0,0,73.0,0,Not_Canceled
18556,INN18557,2,1,0,3,Meal Plan 1,0,Room_Type 1,50,2018,11,15,Offline,0,0,0,75.0,0,Not_Canceled
19190,INN19191,2,0,2,4,Meal Plan 1,0,Room_Type 1,93,2018,7,2,Corporate,0,0,0,84.0,0,Not_Canceled
77,INN00078,2,0,1,2,Meal Plan 1,0,Room_Type 1,64,2018,6,27,Online,0,0,0,111.9,1,Not_Canceled
20930,INN20931,2,0,2,1,Meal Plan 1,0,Room_Type 1,109,2018,7,9,Online,0,0,0,114.3,0,Not_Canceled
34590,INN34591,2,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,94.5,0,Canceled
632,INN00633,2,0,0,1,Not Selected,0,Room_Type 1,1,2018,2,11,Online,0,0,0,80.0,2,Not_Canceled
9234,INN09235,2,0,2,1,Meal Plan 2,0,Room_Type 1,145,2017,8,29,Offline,0,0,0,94.5,0,Not_Canceled
23899,INN23900,1,0,0,3,Meal Plan 1,0,Room_Type 1,68,2018,5,10,Online,0,0,0,121.5,0,Canceled
11910,INN11911,1,0,1,0,Meal Plan 1,0,Room_Type 1,21,2018,11,21,Corporate,0,0,0,67.0,0,Canceled
23168,INN23169,2,0,2,1,Meal Plan 1,0,Room_Type 1,76,2017,11,8,Offline,0,0,0,49.07,0,Not_Canceled
28173,INN28174,1,0,1,1,Meal Plan 1,0,Room_Type 1,13,2018,7,11,Corporate,0,0,0,79.0,0,Not_Canceled
26489,INN26490,2,2,0,1,Meal Plan 1,0,Room_Type 6,173,2018,7,8,Online,0,0,0,177.3,2,Canceled
14860,INN14861,2,0,2,3,Meal Plan 1,0,Room_Type 1,53,2018,3,19,Offline,0,0,0,70.0,1,Not_Canceled
18834,INN18835,3,0,0,1,Meal Plan 1,0,Room_Type 1,168,2018,8,13,Online,0,0,0,146.7,1,Canceled
26579,INN26580,2,0,0,1,Not Selected,0,Room_Type 1,6,2018,3,4,Online,0,0,0,100.0,0,Not_Canceled
6986,INN06987,1,0,0,2,Meal Plan 1,0,Room_Type 1,27,2018,10,5,Online,0,0,0,139.0,1,Not_Canceled
1984,INN01985,2,0,1,2,Meal Plan 1,0,Room_Type 1,1,2017,8,21,Online,0,0,0,90.0,0,Not_Canceled
3759,INN03760,1,0,0,0,Meal Plan 1,0,Room_Type 1,56,2017,9,25,Online,0,0,0,0.0,0,Not_Canceled
12351,INN12352,3,0,2,4,Meal Plan 1,0,Room_Type 1,143,2018,7,28,Online,0,0,0,132.88,1,Not_Canceled
15269,INN15270,2,0,0,1,Not Selected,0,Room_Type 1,4,2018,10,29,Online,0,0,0,140.0,2,Not_Canceled
5005,INN05006,2,1,0,1,Meal Plan 1,0,Room_Type 1,12,2018,2,6,Online,0,0,0,109.0,0,Canceled
11313,INN11314,2,0,0,4,Meal Plan 1,0,Room_Type 1,105,2017,9,16,Online,0,0,0,71.4,0,Not_Canceled
19722,INN19723,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,2018,4,24,Offline,0,0,0,95.0,0,Canceled
6786,INN06787,1,0,0,3,Meal Plan 1,0,Room_Type 1,6,2018,7,26,Corporate,1,0,1,65.0,0,Not_Canceled
11015,INN11016,1,0,1,2,Meal Plan 1,0,Room_Type 1,219,2017,9,4,Offline,0,0,0,76.67,0,Not_Canceled
5724,INN05725,2,0,1,2,Meal Plan 1,0,Room_Type 1,19,2018,5,2,Online,0,0,0,130.0,0,Not_Canceled
8751,INN08752,1,0,0,1,Meal Plan 1,0,Room_Type 1,53,2018,10,14,Offline,0,0,0,120.0,0,Not_Canceled
27897,INN27898,1,0,0,2,Meal Plan 1,0,Room_Type 1,4,2018,4,19,Aviation,0,0,0,95.0,0,Not_Canceled
3863,INN03864,2,0,0,3,Meal Plan 1,0,Room_Type 1,154,2018,4,19,Offline,0,0,0,75.0,0,Not_Canceled
24375,INN24376,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109.0,0,Not_Canceled
5415,INN05416,3,0,2,2,Meal Plan 1,0,Room_Type 4,41,2018,12,2,Online,0,0,0,130.9,2,Not_Canceled
3150,INN03151,2,0,2,2,Meal Plan 1,0,Room_Type 1,226,2018,10,29,Offline,0,0,0,70.0,1,Not_Canceled
21188,INN21189,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,2,25,Corporate,0,0,0,80.0,0,Not_Canceled
9341,INN09342,2,0,2,2,Not Selected,0,Room_Type 1,105,2018,10,21,Online,0,0,0,108.0,1,Canceled
8704,INN08705,1,0,1,3,Meal Plan 1,0,Room_Type 1,118,2018,6,6,Offline,0,0,0,110.0,0,Not_Canceled
15187,INN15188,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,10,26,Online,0,0,0,109.0,0,Not_Canceled
22052,INN22053,2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,20,Online,0,0,0,146.33,1,Canceled
27714,INN27715,2,0,0,2,Meal Plan 1,0,Room_Type 1,50,2018,11,11,Online,0,0,0,97.2,1,Not_Canceled
23020,INN23021,2,0,2,3,Meal Plan 1,0,Room_Type 4,31,2018,3,10,Online,0,0,0,95.4,0,Not_Canceled
10639,INN10640,2,1,0,2,Meal Plan 1,0,Room_Type 1,135,2018,7,5,Online,0,0,0,126.0,1,Not_Canceled
8954,INN08955,2,0,1,1,Meal Plan 1,0,Room_Type 1,44,2018,1,2,Complementary,0,0,0,2.0,0,Not_Canceled
903,INN00904,2,0,2,5,Meal Plan 1,0,Room_Type 1,51,2017,9,16,Offline,0,0,0,75.6,1,Not_Canceled
34767,INN34768,2,0,0,3,Meal Plan 1,0,Room_Type 1,9,2018,11,10,Online,0,0,0,123.2,1,Not_Canceled
19404,INN19405,2,0,0,1,Meal Plan 1,0,Room_Type 1,80,2018,6,23,Online,0,0,0,96.3,1,Not_Canceled
4294,INN04295,2,0,2,3,Meal Plan 1,0,Room_Type 1,89,2018,4,10,Online,0,0,0,90.95,1,Not_Canceled
23652,INN23653,2,0,1,2,Meal Plan 1,0,Room_Type 1,49,2018,3,18,Offline,0,0,0,63.58,0,Not_Canceled
31338,INN31339,2,0,2,0,Not Selected,0,Room_Type 1,2,2018,6,26,Online,0,0,0,122.0,1,Not_Canceled
28950,INN28951,2,0,2,3,Meal Plan 1,0,Room_Type 1,106,2018,4,17,Online,0,0,0,82.45,0,Not_Canceled
18640,INN18641,2,0,0,3,Meal Plan 1,0,Room_Type 1,155,2018,10,20,Offline,0,0,0,97.2,0,Canceled
21804,INN21805,2,0,2,5,Meal Plan 1,0,Room_Type 1,163,2018,8,15,Offline,0,0,0,72.25,1,Not_Canceled
12646,INN12647,1,0,0,3,Meal Plan 1,0,Room_Type 1,64,2018,5,17,Corporate,0,0,0,130.0,0,Not_Canceled
4408,INN04409,1,0,0,1,Meal Plan 2,0,Room_Type 1,83,2017,9,30,Offline,0,0,0,90.6,0,Not_Canceled
13636,INN13637,1,0,0,2,Meal Plan 1,0,Room_Type 1,58,2018,1,27,Offline,0,0,0,85.5,0,Not_Canceled
29335,INN29336,2,0,0,3,Not Selected,0,Room_Type 1,6,2018,9,8,Online,0,0,0,108.99,1,Not_Canceled
5262,INN05263,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,7,20,Online,0,0,0,105.0,1,Not_Canceled
21967,INN21968,2,0,1,2,Not Selected,0,Room_Type 1,87,2018,4,4,Online,0,0,0,79.5,1,Not_Canceled
35345,INN35346,1,0,2,4,Meal Plan 1,0,Room_Type 1,69,2018,6,12,Offline,0,0,0,120.0,0,Canceled
21632,INN21633,3,0,1,0,Meal Plan 1,0,Room_Type 4,2,2018,8,15,Online,0,0,0,256.0,1,Canceled
35851,INN35852,1,0,1,3,Not Selected,0,Room_Type 1,8,2018,10,17,Online,0,0,0,112.0,0,Not_Canceled
17968,INN17969,2,0,1,2,Meal Plan 1,0,Room_Type 4,27,2017,9,21,Offline,0,0,0,97.0,0,Not_Canceled
23107,INN23108,2,0,1,3,Meal Plan 1,0,Room_Type 1,39,2017,10,12,Online,0,0,0,94.5,2,Not_Canceled
22034,INN22035,1,0,2,3,Meal Plan 1,0,Room_Type 4,23,2018,4,9,Online,0,0,0,129.2,0,Canceled
15171,INN15172,2,0,1,1,Meal Plan 1,1,Room_Type 2,37,2018,2,6,Online,0,0,0,81.55,1,Not_Canceled
3883,INN03884,2,0,0,2,Not Selected,0,Room_Type 1,0,2018,7,8,Online,0,0,0,143.5,0,Not_Canceled
20000,INN20001,2,1,1,0,Meal Plan 1,0,Room_Type 1,86,2018,8,14,Online,0,0,0,134.1,0,Canceled
28773,INN28774,2,0,1,1,Meal Plan 1,0,Room_Type 1,202,2018,7,9,Online,0,0,0,96.3,1,Not_Canceled
